Episode 0, Score: 0.0, eps: 0.22229219984074702
Episode 1, Score: 3.0, eps: 0.0494138221100385
Episode 2, Score: 2.0, eps: 0.01098430721937979
Episode 3, Score: 0.0, eps: 0.01
Episode 4, Score: -1.0, eps: 0.01
Episode 5, Score: 0.0, eps: 0.01
Episode 6, Score: 0.0, eps: 0.01
Episode 7, Score: 1.0, eps: 0.01
Episode 8, Score: 0.0, eps: 0.01
Episode 9, Score: 0.0, eps: 0.01
Episode 10, Score: 0.0, eps: 0.01
Episode 11, Score: 0.0, eps: 0.01
Episode 12, Score: -1.0, eps: 0.01
Episode 13, Score: 0.0, eps: 0.01
Episode 14, Score: -2.0, eps: 0.01
Episode 15, Score: 0.0, eps: 0.01
Episode 16, Score: 2.0, eps: 0.01
Episode 17, Score: 3.0, eps: 0.01
Episode 18, Score: -1.0, eps: 0.01
Episode 19, Score: -2.0, eps: 0.01
Episode 20, Score: 3.0, eps: 0.01
Episode 21, Score: 0.0, eps: 0.01
Episode 22, Score: -1.0, eps: 0.01
Episode 23, Score: 0.0, eps: 0.01
Episode 24, Score: 1.0, eps: 0.01
Episode 25, Score: -1.0, eps: 0.01
Episode 26, Score: -1.0, eps: 0.01
Episode 27, Score: 1.0, eps: 0.01
Episode 28, Score: 0.0, eps: 0.01
Episode 29, Score: 1.0, eps: 0.01
Episode 30, Score: 1.0, eps: 0.01
Episode 31, Score: 1.0, eps: 0.01
Episode 32, Score: 2.0, eps: 0.01
Episode 33, Score: 0.0, eps: 0.01
Episode 34, Score: 1.0, eps: 0.01
Episode 35, Score: 1.0, eps: 0.01
Episode 36, Score: 1.0, eps: 0.01
Episode 37, Score: 0.0, eps: 0.01
Episode 38, Score: 0.0, eps: 0.01
Episode 39, Score: 0.0, eps: 0.01
Episode 40, Score: 0.0, eps: 0.01
Episode 41, Score: 0.0, eps: 0.01
Episode 42, Score: 3.0, eps: 0.01
Episode 43, Score: 0.0, eps: 0.01
Episode 44, Score: 1.0, eps: 0.01
Episode 45, Score: 0.0, eps: 0.01
Episode 46, Score: 0.0, eps: 0.01
Episode 47, Score: 1.0, eps: 0.01
Episode 48, Score: -1.0, eps: 0.01
Episode 49, Score: 0.0, eps: 0.01
Episode 50, Score: 1.0, eps: 0.01
Episode 51, Score: 1.0, eps: 0.01
Episode 52, Score: 1.0, eps: 0.01
Episode 53, Score: 0.0, eps: 0.01
Episode 54, Score: 0.0, eps: 0.01
Episode 55, Score: 0.0, eps: 0.01
Episode 56, Score: 0.0, eps: 0.01
Episode 57, Score: 0.0, eps: 0.01
Episode 58, Score: 1.0, eps: 0.01
Episode 59, Score: -1.0, eps: 0.01
Episode 60, Score: 0.0, eps: 0.01
Episode 61, Score: 2.0, eps: 0.01
Episode 62, Score: 0.0, eps: 0.01
Episode 63, Score: 2.0, eps: 0.01
Episode 64, Score: 2.0, eps: 0.01
Episode 65, Score: 0.0, eps: 0.01
Episode 66, Score: 1.0, eps: 0.01
Episode 67, Score: 0.0, eps: 0.01
Episode 68, Score: 0.0, eps: 0.01
Episode 69, Score: 0.0, eps: 0.01
Episode 70, Score: 0.0, eps: 0.01
Episode 71, Score: 0.0, eps: 0.01
Episode 72, Score: 2.0, eps: 0.01
Episode 73, Score: -3.0, eps: 0.01
Episode 74, Score: 0.0, eps: 0.01
Episode 75, Score: 1.0, eps: 0.01
Episode 76, Score: 2.0, eps: 0.01
Episode 77, Score: 2.0, eps: 0.01
Episode 78, Score: 1.0, eps: 0.01
Episode 79, Score: -2.0, eps: 0.01
Episode 80, Score: 2.0, eps: 0.01
Episode 81, Score: 0.0, eps: 0.01
Episode 82, Score: -3.0, eps: 0.01
Episode 83, Score: 3.0, eps: 0.01
Episode 84, Score: -1.0, eps: 0.01
Episode 85, Score: 2.0, eps: 0.01
Episode 86, Score: 3.0, eps: 0.01
Episode 87, Score: 1.0, eps: 0.01
Episode 88, Score: 1.0, eps: 0.01
Episode 89, Score: 2.0, eps: 0.01
Episode 90, Score: 0.0, eps: 0.01
Episode 91, Score: 1.0, eps: 0.01
Episode 92, Score: 0.0, eps: 0.01
Episode 93, Score: 2.0, eps: 0.01
Episode 94, Score: 0.0, eps: 0.01
Episode 95, Score: 4.0, eps: 0.01
Episode 96, Score: 3.0, eps: 0.01
Episode 97, Score: 3.0, eps: 0.01
Episode 98, Score: -1.0, eps: 0.01
Episode 99, Score: 4.0, eps: 0.01
Episode 100, Score: 3.0, eps: 0.01
Episode 101, Score: 0.0, eps: 0.01
Episode 102, Score: 1.0, eps: 0.01
Episode 103, Score: 4.0, eps: 0.01
Episode 104, Score: -1.0, eps: 0.01
Episode 105, Score: 5.0, eps: 0.01
Episode 106, Score: 2.0, eps: 0.01
Episode 107, Score: 1.0, eps: 0.01
Episode 108, Score: 3.0, eps: 0.01
Episode 109, Score: 3.0, eps: 0.01
Episode 110, Score: 0.0, eps: 0.01
Episode 111, Score: 6.0, eps: 0.01
Episode 112, Score: 8.0, eps: 0.01
